,Name,Legal Name,Start Date,Street Number,Street Name,ZIP Code,Lat,Lon,Category,tract
730,Sushic@ Giant Eagle #43,Sushic GE LLC,12/18/2015,155,Town Center Dr,15090,40.63217,-80.054312,Take Out,
731,Taco Bell /Pizza Hut Express #31620,Charter Central LLC,7/15/2015,825,Freeport Rd,15215,40.487186,-79.895071,Dollar Menu,421100
732,Taco Bell #5594,Nordic Corp,11/17/1998,4032,Wm Penn Hwy,15146,40.438346,-79.76790799999999,Dollar Menu,
733,Taco Bell #5656,Nordic Corp,11/19/1998,2300,Ardmore Blvd,15221,40.416778,-79.848694,Dollar Menu,
734,Taco Bell #15608,Nordic Corp,1/1/1985,2802,Jacks Run Rd,15131,40.337668,-79.80702,Dollar Menu,
735,Taco Bell #026113,Charter Foods Inc,1/7/2010,2050,Lebanon Church Rd,15122,40.347935,-79.947793,Dollar Menu,488600
736,Taco Bell #26114,Charter Foods North,7/27/2009,4801,McKnight Rd,15237,40.522828000000004,-80.00653100000001,Dollar Menu,429100
737,Taco Bell #26115,Charter Foods North LLC,7/30/2009,1690,Cochran Rd,15220,40.392881,-80.06302600000001,Dollar Menu,470500
738,Taco Bell #26116,Charter Foods North LLC,7/28/2009,2343,Noblestown Rd,15205,40.427237,-80.05417299999999,Dollar Menu,469000
739,Taco Bell #26117,Charter Foods North LLC,7/27/2009,1025,Washington Pike,15017,40.367163,-80.110119,Dollar Menu,
740,Taco Bell #27626,Aarsand & Co LLC,3/5/2012,705,Allegheny Ave,15233,40.449793,-80.018714,Dollar Menu,210800
741,Taco Bell #31614,Charter Central LLC,6/10/2015,1603,Braddock Ave,15218,40.426666,-79.888681,Dollar Menu,516100
742,Taco Bell #31615,Charter Central LLC,7/28/2015,100,Northtowne Sq,15044,40.637409999999996,-79.939513,Dollar Menu,
743,Target / Food Avenue Express #1217,Target Corp,10/1/1999,600,Chauvet Dr,15275,40.446307,-80.183571,"Breakfast, Drink, Other",
744,Target / Food Avenue Express #1218,Target Corp,8/10/1999,9805,McKnight Rd,15237,40.584706,-80.039643,"Breakfast, Drink, Other",413201
745,Target / Food Avenue Express #1219,Target Corp,8/19/1999,4004,Monroeville Blvd,15146,40.433958000000004,-79.772657,"Breakfast, Drink, Other",
746,Target / Food Avenue Express #2077,Target Stores,1/17/2006,288,Mt Nebo Pointe Dr,15237,40.535691,-80.068546,"Breakfast, Drink, Other",437000
747,Target / Food Avenue Express #2385,Target Corp,3/1/2008,2661,Freeport Rd,15238,40.538377000000004,-79.83654399999999,"Breakfast, Drink, Other",419000
748,Target #2201,Target Corporation,8/24/2006,4801,McKnight Rd,15237,40.522828000000004,-80.00653100000001,"Breakfast, Drink, Other",429100
749,Target #2262,Target,6/22/2007,550,Grandview Crossing Dr,15044,40.641828000000004,-79.94184200000001,"Breakfast, Drink, Other",
750,Target Cafe / Starbucks #1253,Target Corporation,1/27/2000,360,E Waterfront Dr,15120,40.410403,-79.909935,"Breakfast, Drink, Other",
751,Target Cafe / Starbucks #2787,Target Stores,2/7/2013,201,South Hills Village,15241,40.340135,-80.054802,"Breakfast, Drink, Other",475200
752,Target Cafe #1270,Target Corp,8/28/2000,1717,Lebanon Church Rd,15122,40.348058,-79.94878800000001,"Breakfast, Drink, Other",488600
753,Target Cafe #2757,Target,8/24/2011,6231,Penn Ave,15206,40.4609,-79.921311,"Breakfast, Drink, Other",111500
754,Tenders,Tenders Pittsburgh Inc,2/12/2015,121,Oakland Ave,15213,40.441864,-79.957123,"Breakfast, Drink, Other",040500
755,The Apple Core Cafe / AETNA,Flik International,3/8/2002,730,Holiday Drive / Foster Plaza #8,15220,40.421988,-80.06375799999999,"Breakfast, Drink, Other",
756,The Bagel Factory,Pittsburgh Bagel Factory Inc,8/23/2012,420,Craig St,15213,40.454605,-79.95346500000001,"Breakfast, Drink, Other",050700
757,The Bagel Factory,The Pittsburgh Bagel Factory Inc,7/31/1998,5825,Ellsworth Ave,15232,40.456778,-79.9302,"Breakfast, Drink, Other",070500
758,The Bagel Factory,Pittsburgh Bagel Factory Inc,3/30/2004,5885,Forbes Ave,15217,40.438278000000004,-79.919953,"Breakfast, Drink, Other",140300
759,The Coffee Tree Roasters,The Coffee Tree Roasters Inc,7/8/1996,299,Beverly Rd,15216,40.388732,-80.049634,"Breakfast, Drink, Other",
760,The Coffee Tree Roasters,The Coffee Tree Rstrs-plh,3/13/2013,10,Old Clairton Rd,15236,40.339812,-79.965456,"Breakfast, Drink, Other",489001
761,The Coffee Tree Roasters,The Coffee Tree Roasters Inc,12/1/2003,5524,Walnut St,15232,40.451252000000004,-79.932727,"Breakfast, Drink, Other",070300
762,The Coffee Tree Roasters,The Coffee Tree Roasters Corp,6/29/1993,5840,Forbes Ave,15217,40.437809,-79.92132600000001,"Breakfast, Drink, Other",140800
763,The Coffee Tree Roasters,Bakery Square Coffee LLC,6/21/2010,151,Bakery Square Blvd,15206,40.456352,-79.915518,"Breakfast, Drink, Other",
764,The Coffee Tree Roasters,FXC-CTR Coffee LLC,9/29/2011,48,Fox Chapel Rd,15238,40.488455,-79.88265,"Breakfast, Drink, Other",421100
765,The Court St. Cafe at Dicks Sporting Goods,Guckenheimer Services LLC,12/15/2009,345,Court St,15108,40.507630999999996,-80.26583199999999,"Breakfast, Drink, Other",
766,The Meadows Original Frozen Custard,Le Nostre Ragazze LLC,5/28/2015,4329,Northern Pike,15146,40.434571000000005,-79.750509,"Breakfast, Drink, Other",521301
767,The Pita Pit,DCM Holdings Inc,11/20/2006,2763,E Carson St,15203,40.42648,-79.966039,Take Out,
768,The Pizza Co,,9/11/1995,3502,Main St,15120,40.385719,-79.903293,Take Out,484500
769,The Pizza Company,JSH Inc,7/8/2005,4101,Library Rd,15234,40.360769,-80.02837199999999,Take Out,476200
770,The Pizza Company,The Pizza Company Inc,8/14/2003,5200,Brownsville Rd,15236,40.343226,-79.98559399999999,Take Out,480101
771,The Pizza Company,,3/23/2007,1711,Clairton Rd,15122,40.328992,-79.93225699999999,Take Out,488600
772,The Pizza Company #6,,12/3/2013,3050,Churchview Ave,15227,40.385574,-79.967678,Take Out,480400
773,The Simple Greek,RVJ Enterprises LLC,3/4/2011,665,Washington Rd,15228,40.381267,-80.04398499999999,Take Out,473300
774,Uncle Sam's Gourmet Subs,Local Dive Restaurants,6/19/1997,5808,Forbes Ave,15217,40.437859,-79.922496,Take Out,140800
775,Uncle Sam's Sandwich Bar,Subluxx Inc,1/6/2016,936,Freeport Rd,15238,40.488622,-79.892179,Take Out,421100
776,Uncle Sam's Subs,Uncle Sam's Inc,8/4/1986,210,Oakland Ave,15213,40.44119,-79.95679399999999,Take Out,040500
777,V3 Pizza,Ablak Holdings / Supremacy LLC,9/4/2015,11,5th Ave,15222,40.442313,-80.002978,Take Out,020100
778,Villa Pizza,Villa Enterprises Mgmt,7/1/2005,449,Pittsburgh Mills Circle,15084,40.575070000000004,-79.795794,Take Out,
779,Villa Pizza #4801,International Villa II Inc,10/23/2001,100,Robinson Center Drive / 2556 Robinson Mall,15205,40.44177,-80.08701500000001,Take Out,
780,Vocelli Pizza,M & K Pizza LLC,1/17/2014,935,Beaver Grade Rd,15108,40.511328999999996,-80.212909,Take Out,451102
781,Vocelli Pizza,M & K Pizza LLC,1/31/2014,422,Walnut St,15143,40.540521000000005,-80.18209,Take Out,445500
782,Vocelli Pizza,Brooks Enterprise LLC,2/1/2010,3060,Liberty Ave,15216,40.392056,-80.038288,Take Out,060500
783,Vocelli Pizza,,4/28/2010,1019,Mt Royal Blvd,15223,40.517268,-79.95938000000001,Take Out,426400
784,Vocelli Pizza,Champion 99 LLC,8/11/2010,4896,Wm Flynn Hwy,15101,40.571191,-79.952845,Take Out,
785,Vocelli Pizza,Pizza Outlet Inc,10/7/1993,4740,Baum Blvd,15213,40.453938,-79.94884300000001,Take Out,080400
786,Vocelli Pizza,Perciner Wadsworth Inc,9/30/1994,4235,Murray Ave,15217,40.422196,-79.928597,Take Out,151700
787,Vocelli Pizza,,11/1/2013,231,Commercial Ave,15215,40.490241,-79.903764,Take Out,423000
788,Vocelli Pizza,Pizza Outlet Inc,3/11/1997,2011,Waverly St,15218,40.422025,-79.886205,Take Out,515100
789,Vocelli Pizza,TAC Food SUC Inc,4/6/2007,201,Allegheny Ave,15139,40.514196000000005,-79.843961,Take Out,525200
790,Vocelli Pizza,C & C Food Services Inc,3/4/1998,11745,Frankstown Rd,15235,40.467838,-79.825587,Take Out,523300
791,Vocelli Pizza / Robinson,Kuttler Inc,1/3/2006,5644,Steubenville Pike,15136,40.451757,-80.131548,Take Out,459201
792,Vocelli Pizza #1,Vocelli Pizza LP,2/9/2004,1687,Washington Rd,15228,40.351893,-80.050278,Take Out,473402
793,Vocelli's Pizza #10,Moore Pizza,8/16/2010,617,Brownsville Rd,15210,40.410275,-79.99006800000001,Take Out,481000
794,Vocelli Pizza #19,Balfe Inc,4/9/2014,1130,Perry Highway,15237,40.547834,-80.035657,Take Out,429400
795,Vocelli Pizza #30,Vocelli Pizza Inc,2/11/2014,1025,Washington Pike,15017,40.367163,-80.110119,Take Out,
796,Vocelli Pizza #35,D - T Food Services Inc,5/10/2010,1786,Golden Mile Hwy,15146,40.445275,-79.712946,Take Out,521500
797,Vocelli Pizza #74,MJ Coffield LLC,9/2/2010,2101,Greentree Rd,15220,40.390563,-80.072422,Take Out,
798,Vocelli Pizza #104,P & A Pizza LLC,7/9/1998,691,Clairton Blvd,15236,40.323355,-79.956672,Take Out,
799,Walid's Hook Fish & Chicken #2,Walid Ifraiwan,11/25/2015,1303,Brownsville Rd,15210,40.40272,-79.98932099999999,NO Dollar Menu,290200
800,"Walid's Hook, Fish & Chicken",,10/12/2015,1000,Chartiers Ave,15220,40.444188,-80.040594,NO Dollar Menu,202000
801,Wendy's #546,Primary Aim LLC,2/24/2016,1125,Washington Pike,15017,40.368036,-80.104155,Dollar Menu,458000
